Item No.,Lake,Year,doy,Actual,CNN_1,CNN_2,CNN_3,CNN_4,CNN_5,CNN_6,CNN_7,Mech_1,Mech_2,Mech_3,Mech_4,Mech_5,Mech_6,Mech_7,N_1,N_2,N_3,N_4,N_5,N_6,N_7
1,R,2019,133,2.922053034,2.645712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.205005,NA,NA,NA,NA,NA,NA
2,R,2019,134,2.410240274,3.253206,2.701574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.922053,2.205005,NA,NA,NA,NA,NA
3,R,2019,135,2.232559002,2.597138,3.28328,2.877867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41024,2.922053,2.205005,NA,NA,NA,NA
4,R,2019,136,2.205212851,2.157978,2.552874,3.343935,2.923639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.232559,2.41024,2.922053,2.205005,NA,NA,NA
5,R,2019,137,2.354173794,2.533942,2.329472,2.692757,3.150982,3.074002,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.205213,2.232559,2.41024,2.922053,2.205005,NA,NA
6,R,2019,138,3.68582141,2.525652,2.520699,2.415181,2.615288,2.913649,3.155078,NA,NA,NA,NA,NA,NA,NA,NA,2.354174,2.205213,2.232559,2.41024,2.922053,2.205005,NA
7,R,2019,139,5.650278199,2.773487,2.483664,2.607661,2.382314,2.505321,2.884561,3.372136,NA,NA,NA,NA,NA,NA,NA,3.685821,2.354174,2.205213,2.232559,2.41024,2.922053,2.205005
8,R,2019,140,3.792869911,4.975733,2.68376,2.412339,2.53921,2.416332,2.555462,3.072865,NA,NA,NA,NA,NA,NA,NA,5.650278,3.685821,2.354174,2.205213,2.232559,2.41024,2.922053
9,R,2019,141,3.132302335,5.103531,4.902627,2.67951,2.482475,2.620042,2.450711,2.71868,NA,NA,NA,NA,NA,NA,NA,3.79287,5.650278,3.685821,2.354174,2.205213,2.232559,2.41024
10,R,2019,142,3.504155021,4.049566,4.95024,4.93516,2.611853,2.439848,2.592823,2.576721,NA,NA,NA,NA,NA,NA,NA,3.132302,3.79287,5.650278,3.685821,2.354174,2.205213,2.232559
11,R,2019,143,3.545998754,3.654312,3.818985,4.888529,4.746037,2.699773,2.439092,2.657329,NA,NA,NA,NA,NA,NA,NA,3.504155,3.132302,3.79287,5.650278,3.685821,2.354174,2.205213
12,R,2019,144,4.233500228,3.865294,3.435848,3.763419,4.62184,4.863442,2.56305,2.341347,NA,NA,NA,NA,NA,NA,NA,3.545999,3.504155,3.132302,3.79287,5.650278,3.685821,2.354174
13,R,2019,145,2.47997983,3.98782,3.633253,3.254193,3.656848,4.579094,4.886178,2.688987,NA,NA,NA,NA,NA,NA,NA,4.2335,3.545999,3.504155,3.132302,3.79287,5.650278,3.685821
14,R,2019,146,2.007399864,3.231983,3.678606,3.510657,3.222984,3.657776,4.711211,5.024923,NA,NA,NA,NA,NA,NA,NA,2.47998,4.2335,3.545999,3.504155,3.132302,3.79287,5.650278
15,R,2019,147,2.436899336,2.578702,2.966611,3.545916,3.464682,3.136019,3.582819,4.739876,NA,NA,NA,NA,NA,NA,NA,2.0074,2.47998,4.2335,3.545999,3.504155,3.132302,3.79287
16,R,2019,148,3.568466572,2.574003,2.346751,3.258106,3.356173,3.524931,2.99021,3.540954,NA,NA,NA,NA,NA,NA,NA,2.436899,2.0074,2.47998,4.2335,3.545999,3.504155,3.132302
17,R,2019,149,2.408659969,3.647348,2.347237,2.751839,3.422633,3.423178,3.373575,2.924567,NA,NA,NA,NA,NA,NA,NA,3.568467,2.436899,2.0074,2.47998,4.2335,3.545999,3.504155
18,R,2019,150,1.835435175,3.036186,3.405213,2.667363,2.980495,3.3764,3.11564,3.342845,NA,NA,NA,NA,NA,NA,NA,2.40866,3.568467,2.436899,2.0074,2.47998,4.2335,3.545999
19,R,2019,151,1.862698875,2.224276,2.8741,3.415767,2.802364,2.732614,3.065469,3.316903,NA,NA,NA,NA,NA,NA,NA,1.835435,2.40866,3.568467,2.436899,2.0074,2.47998,4.2335
20,R,2019,152,1.88722796,2.315721,2.152699,2.937552,3.312792,2.542095,2.545161,3.393561,NA,NA,NA,NA,NA,NA,NA,1.862699,1.835435,2.40866,3.568467,2.436899,2.0074,2.47998
21,R,2019,153,2.089575735,2.203129,2.27565,2.281269,2.947123,3.429298,2.362254,2.879522,2.543539213,NA,NA,NA,NA,NA,NA,1.887228,1.862699,1.835435,2.40866,3.568467,2.436899,2.0074
22,R,2019,154,2.43408227,2.157039,2.201442,2.464057,2.273968,3.042855,3.278167,2.67138,2.699523304,2.895274438,NA,NA,NA,NA,NA,2.089576,1.887228,1.862699,1.835435,2.40866,3.568467,2.436899
23,R,2019,155,1.98857362,2.344271,2.181518,2.379208,2.480842,2.299697,2.900898,3.432901,2.840714261,2.934266179,2.966495178,NA,NA,NA,NA,2.434082,2.089576,1.887228,1.862699,1.835435,2.40866,3.568467
24,R,2019,156,4.552103499,2.400475,2.369121,2.344402,2.384689,2.510316,2.236549,3.078543,2.622610827,2.950624485,2.966066752,2.969744099,NA,NA,NA,1.988574,2.434082,2.089576,1.887228,1.862699,1.835435,2.40866
25,R,2019,157,3.789984136,3.686385,2.393938,2.536495,2.388617,2.347884,2.508994,2.536685,2.184593085,2.891544182,2.959439589,2.966870196,2.969759748,NA,NA,4.552103,1.988574,2.434082,2.089576,1.887228,1.862699,1.835435
